Date,cap,stochaistic_k_percent,stochaistic_D,Momentum,rate_of_change,William_R_percent,AD_oscillator,Disparity
20-10-2008,410.5,72.33373093,48.70857538,686.239258,1350.174823,0.276662691,1,103.2366257
21-10-2008,-234.959961,52.35737032,56.18819971,582.469726,1550.923551,0.476426297,0.068217848,99.72959015
22-10-2008,-508.070313,20.13778416,56.30460267,-868.400391,-981.0232756,0.798622158,-0.008404297,95.35613803
23-10-2008,163.44043,44.4230573,55.27145317,-619.740234,-1402.402091,0.555769427,0.50101379,98.25547811
24-10-2008,-307.290039,17.45287407,49.40210894,-198.959961,-4211.375069,0.825471259,-0.016218585,95.0302509
27-10-2008,-197.199707,2.820447439,45.37308693,-803.489746,-1017.53259,0.971795526,0.483303391,93.94892972
28-10-2008,883.609863,80.76797648,48.71628477,212.90039,4257.916163,0.192320235,0.998853761,103.8057809
29-10-2008,-57.669922,69.47191525,51.39502228,-274.469727,-3275.756514,0.305280848,0.63040404,103.4209219
30-10-2008,174.429688,85.02702959,53.20835066,147.030274,6244.081698,0.149729704,0.951347158,105.3488164
31-10-2008,146.950195,90.13171374,58.60468543,805.799805,1157.236538,0.098682863,0.816534771,105.6098432
03-11-2008,-2.150391,89.73655013,68.54736629,628.580078,1482.679837,0.102634499,0.551624462,104.4885405
04-11-2008,292.709961,98.10178267,76.21575562,1246.330078,772.2898166,0.018982173,1.012299471,105.8011101
05-11-2008,-482.589843,65.20594711,83.0376232,963.499511,948.5494727,0.347940529,-0.017185014,98.96161901
06-11-2008,-437.979493,5.765268914,83.45831198,-369.330078,-2354.476539,0.942347311,0.031201658,94.70057904
07-11-2008,250.569336,30.15790689,76.22830204,-47.150391,-18968.6859,0.698420931,1.0009047,97.47311102
10-11-2008,-82.279297,22.95187301,69.58258172,-310.150391,-2860.077013,0.77048127,0.540615466,97.14367574
11-11-2008,-179.800781,12.18853788,59.1770829,-631.049805,-1377.697908,0.878114621,-0.008560812,96.15923817
12-11-2008,-403.379883,1.250854424,46.47981729,-1037.169922,-798.5827568,0.987491456,-0.022323249,93.1363878
13-11-2008,541.050782,52.67931073,41.18592594,-790.030273,-1118.343221,0.473206893,0.651831973,100.6271765
14-11-2008,-327.350586,44.54089724,33.53437088,-641.959961,-1323.65102,0.554591028,0.194024127,97.79979066
17-11-2008,-221.5,25.80559688,27.90574942,-422.209961,-1959.58903,0.741944031,0.228076197,95.89045096
18-11-2008,147.350586,38.46469636,32.5770962,-519.05957,-1623.079601,0.615353036,0.548629507,98.48892907
19-11-2008,-425.160645,3.32649837,28.74403784,-873.260254,-915.7956919,0.966735016,0.154358363,94.87527864
20-11-2008,-443.159668,3.200079145,25.922353,-1141.669922,-661.5125697,0.967999209,0.279411849,91.36394756
21-11-2008,495.719727,40.51025363,29.9683124,-236.240234,-3406.032828,0.594897464,0.83464798,97.7407419
24-11-2008,397.049804,67.44537227,39.42467209,-391.860352,-2154.693529,0.325546277,1.003031098,103.264974
25-11-2008,19.350586,88.95421796,44.60680169,-17.839843,-47531.0782,0.11045782,0.503161126,103.738578
26-11-2008,260.209961,100,52.52953066,453.030274,1926.275318,0,0.594888237,105.9234447
28-11-2008,102.189453,99.83287839,63.10485659,404.290039,2183.838133,0.001671216,0.660152521,106.4206851
01-12-2008,-673.139648,50.63135233,64.8429503,151.810059,5367.951174,0.493686477,-0.002902528,97.96882084
02-12-2008,255.389648,70.16868335,74.39183387,866.799805,971.2842337,0.298313167,0.980998178,99.73012003
03-12-2008,177.930664,69.40233755,83.84929935,545.270508,1575.674881,0.305976624,0.525844953,100.8441764
04-12-2008,-210.990234,34.04113936,82.92514017,-67.149414,-12474.03326,0.659588606,0.108161306,98.42617179
05-12-2008,261.570313,72.51458309,83.64931315,155.950195,5537.293443,0.274854169,0.546207796,101.2067517
08-12-2008,296.449218,89.84145431,83.7760612,207.569336,4304.190523,0.101585457,1.005323235,104.3455722
09-12-2008,-241.099609,63.09325589,78.50366918,-137.709961,-6311.329997,0.369067441,-0.000283607,101.7430135
10-12-2008,57.129883,70.81316557,74.35799592,612.330078,1430.832853,0.291868344,0.80677544,101.523885
11-12-2008,-187.030274,49.18877061,74.15191282,146,5866.499893,0.508112294,0.16188683,99.00959864
12-12-2008,65.709961,56.30289348,72.17108569,37.989258,22716.10487,0.436971065,0.350938606,99.69369323
15-12-2008,-63.159179,49.12713775,69.27462858,188.290039,4548.583833,0.508728622,0.224852039,98.63455909
16-12-2008,356.259765,84.92920429,76.54435214,288.719726,3090.935203,0.150707957,1.002849161,102.2901587
17-12-2008,-97.969726,77.68035239,77.28231919,-109.839844,-8033.824087,0.223196476,0.202632396,101.3284819
18-12-2008,-217.44043,41.923642,70.43691743,-86.339844,-9966.418556,0.58076358,0.165811141,98.94987051
19-12-2008,-33.129883,37.70489984,66.81000942,-182.30957,-4705.792654,0.622951002,0.769593049,98.94861154
22-12-2008,-54.719726,28.01871466,60.69651643,-45.399414,-18766.08017,0.719812853,0.097213232,98.3368409
23-12-2008,-101.790039,8.056256206,54.82044295,-210.189454,-4005.667303,0.919437438,0.396718181,97.51828024
24-12-2008,51.849609,16.37039229,49.11579992,-96.049804,-8816.75976,0.836296077,0.967786706,98.24184009
26-12-2008,47.160156,24.35853248,45.57742774,-408.589843,-2084.131544,0.756414675,0.906014976,99.46138188
29-12-2008,-28.360351,23.0829843,36.74225345,-340.410156,-2492.266913,0.769170157,0.090804659,99.6581152
30-12-2008,178.970703,71.91658943,35.91885874,63.399414,13672.66525,0.280834106,1.019070309,101.7166928
31-12-2008,105.769531,86.15327479,42.23737771,197.279296,4448.71298,0.138467252,0.980311695,102.6445394
02-01-2009,254.879883,95.6376298,50.51348199,515,1754.308821,0.043623702,0.948737685,104.7640547
05-01-2009,-72.559571,83.97214678,58.50682944,533.399414,1678.458846,0.160278532,-0.00225557,102.906238
06-01-2009,42.370118,89.92265732,70.2020296,546.61914,1649.246971,0.100773427,0.918839618,102.6994979
07-01-2009,-227,56.02771064,75.86736079,254.15039,3450.594821,0.439722894,-0.06555175,99.49241171
08-01-2009,-31.140625,42.45279797,78.45225586,258.530273,3381.600096,0.57547202,0.002687355,98.76952211
09-01-2009,-139.540039,4.347435727,75.77574892,-69.20996,-12424.77194,0.956525643,0.140974432,97.25942778
12-01-2009,-124.649414,7.929726421,66.63476849,-302.419921,-2802.054077,0.920702736,0.018840513,96.31388978
13-01-2009,-28.600586,10.07898402,55.76701267,-586.13086,-1441.411833,0.89921016,0.331338061,96.94773003
14-01-2009,-249.769532,6.272243699,43.00052894,-752.75,-1089.357642,0.937277563,-0.00755923,95.27274189
15-01-2009,19.429688,21.69675211,34.10404399,-802.609375,-1023.223811,0.783032479,0.295572372,96.70448653
16-01-2009,63.959961,36.92007562,26.5322466,-488.480468,-1695.302119,0.630799244,0.55511846,98.32172028
20-01-2009,-330.459961,1.103986869,18.68600035,-793.370117,-1001.939659,0.988960131,0.030565923,95.66571861
21-01-2009,275.259766,43.8033363,18.87893439,-371.080079,-2217.338002,0.561966637,0.958029969,99.65935466
22-01-2009,-115.639649,31.85065804,22.80796615,-351.169922,-2313.068203,0.68149342,-0.012213873,98.98541875
23-01-2009,-30.75,31.37079903,26.15669081,-370.999511,-2177.242778,0.68629201,0.122310855,99.07400463
26-01-2009,39.350098,47.89777255,31.55937489,-84.109863,-9649.319944,0.521022275,0.739113634,99.6927726
27-01-2009,58.540039,61.48042273,39.44625761,-37.760254,-21649.03335,0.385195773,0.769437991,100.4803921
28-01-2009,197.129394,93.87732436,49.75776793,94.230468,8888.261273,0.061226756,1.005219606,102.7775029
29-01-2009,-224.049804,48.30122789,51.38364682,199.919922,4076.136927,0.516987721,-0.009823766,99.64954937
30-01-2009,-148.389649,18.48281472,53.86633652,-227.239746,-3520.889283,0.815171853,0.199923158,98.22784372
02-02-2009,-63.629883,12.88391513,49.44927635,-186.049805,-4265.92761,0.871160849,-0.00179922,97.75975555
03-02-2009,133.32959,39.18101133,50.49646968,0.799804,1010042.443,0.608189887,0.848434799,99.50261395
04-02-2009,-115.489746,16.58125144,48.38367716,-159.369629,-4992.582468,0.834187486,0.359783546,98.27921755
05-02-2009,101.549805,38.84682148,47.09068415,-111.660156,-7221.080565,0.611531785,0.575841502,99.79018641
06-02-2009,225,82.46596895,50.08861933,-94.860351,-8729.242256,0.17534031,0.958368528,102.654426
09-02-2009,-12.019531,90.59090361,49.61913065,121.860351,6787.170765,0.094090964,0.290166165,102.313124
10-02-2009,-382.310547,9.274906449,44.04394187,-111.97998,-7044.902029,0.907250936,-0.003398351,97.78128992
11-02-2009,44.92041,20.05698128,44.26882281,2.779785,285616.6856,0.799430187,0.720932473,98.40424303
12-02-2009,1.029785,38.44525888,47.92044335,-145.600097,-5448.320385,0.615547411,-0.002899696,98.57445876
13-02-2009,-87.370117,25.18638078,45.92121041,-106.25,-7388.621323,0.748136192,0.29204832,97.73550349
17-02-2009,-299.279785,0.208142144,43.5821948,-510.469726,-1479.539278,0.997918579,-0.016225209,94.88933631
18-02-2009,8.879882,9.059952007,39.32692773,-724.959961,-1042.213403,0.90940048,0.472892665,96.17886064
19-02-2009,-93.739746,2.23878816,27.8659019,-804.919922,-927.5394969,0.977612118,0.354439056,96.44905154
20-02-2009,-95.5,15.82520108,17.18508725,-523.209961,-1407.784727,0.841747989,0.015193552,96.08132607
